37.87159,-98.87614,921641636,677.58
45.45262,-121.89147,21151158,821.62
37.64202,-84.66078,823264158,323.6
40.32342,-77.16887,535898367,265.52
31.50306,-90.7775,468587461,129.13
30.62575,-97.69112,344321173,317.44
46.42667,-102.55183,1501550980,833.77
38.379,-80.48397,331376768,1057.61
47.68398,-123.01155,172160587,776.86
40.48042,-123.89088,574731582,757.76
28.29195,-97.27916,1786327890,67.31
39.23221,-107.22727,432343127,2990.97
31.35538,-110.58953,212806018,1564.07
33.82783,-110.85623,517776200,1655.39
36.43947,-105.50362,172419475,2791.36
